time/total_timesteps,eval/mean_ep_length,eval/mean_reward
1000,501.0,-55304649.583483204
2000,1.0,-4919.3559356
3000,1.0,-4464.6480268
4000,1.0,-5645.324074599999
5000,1.0,-4361.4075742
6000,1.0,-4580.4895712
7000,1.0,-4477.8553706
8000,1.0,-5314.5223552
9000,1.0,-4789.20771
10000,1.0,-4640.9278044
11000,1.0,-4416.093624799999
12000,1.0,-5077.415739
13000,1.0,-4780.255451200001
14000,1.0,-4430.9798206
15000,1.0,-5167.0598468
16000,1.0,-5103.1765876
17000,1.0,-4986.9547796
18000,1.0,-4406.3270496
19000,1.0,-4826.0196602
20000,1.0,-4500.0799904
21000,1.0,-4730.1069384
22000,1.0,-5148.9752
23000,1.0,-4610.644342199999
24000,1.0,-5127.3885716
25000,1.0,-4901.3917662
26000,1.0,-4807.677224999999
27000,1.0,-4747.4603806000005
28000,1.0,-4407.4517663999995
29000,1.0,-3852.0116393999997
30000,1.0,-5787.700276999999
31000,1.0,-4604.7766632
32000,1.0,-4202.0953414000005
33000,1.0,-3982.6379635999997
34000,1.0,-4459.9307446
35000,1.0,-5493.3477459999995
36000,1.0,-4506.7842656
37000,1.0,-5919.162875399999
38000,1.0,-4934.48228
39000,1.0,-4333.3812448
40000,1.0,-4682.587922600001
41000,1.0,-5269.7646188
42000,1.0,-4287.6837714
43000,1.0,-4428.1639620000005
44000,1.0,-4647.0914784
45000,1.0,-5031.606999
46000,1.0,-4637.6970688
47000,1.0,-5251.5338206
48000,1.0,-4213.9687566
49000,1.0,-4324.840956399999
50000,1.0,-4477.316621200001
51000,1.0,-5253.6769792000005
52000,1.0,-4697.3889894
53000,1.0,-5462.695760799999
54000,1.0,-5217.82981
55000,1.0,-4439.920272
56000,1.0,-6568.6222316
57000,1.0,-4164.026367
58000,1.0,-4832.6726634
59000,1.0,-4418.170496600001
60000,1.0,-4618.421456599999
61000,1.0,-4663.897883200001
62000,1.0,-4795.456861799999
63000,1.0,-4124.448548599999
64000,1.0,-4700.216332800001
65000,1.0,-4937.8095256
66000,1.0,-4687.9066372
67000,1.0,-4622.2133744
68000,1.0,-4496.7975382
69000,1.0,-5138.0510332
70000,1.0,-5677.7612372
71000,1.0,-5027.240991799999
72000,1.0,-5131.4708556
73000,1.0,-4432.797812
74000,1.0,-4324.413784
75000,1.0,-5748.158694600001
76000,1.0,-5167.8163816
77000,1.0,-4901.102496400001
78000,1.0,-5328.9922078
79000,1.0,-4151.110394400001
80000,1.0,-3903.4123578
81000,1.0,-5436.101571
82000,1.0,-4623.8680256
83000,1.0,-5161.512557200001
84000,1.0,-4860.7772398
85000,1.0,-5461.2525272
86000,1.0,-4031.4197106
87000,1.0,-4225.9948138
88000,1.0,-4749.8116494000005
89000,1.0,-4454.4972594
90000,1.0,-4723.0766914
91000,1.0,-4324.8988784
92000,1.0,-5089.6698568
93000,1.0,-5159.0177994000005
94000,1.0,-4605.1825302
95000,1.0,-4768.3886482
96000,1.0,-3896.2174176
97000,1.0,-4990.3193768
98000,1.0,-4986.880889399999
99000,1.0,-4907.0537066
100000,1.0,-4901.2379848
101000,1.0,-5470.800823200001
102000,1.0,-4932.3530736
103000,1.0,-6425.2034336
104000,1.0,-4506.9209666
105000,1.0,-4655.1228040000005
106000,1.0,-4643.225469
107000,1.0,-4994.442469600001
108000,1.0,-5142.289526800001
109000,1.0,-4755.2346186
110000,1.0,-4539.1267966
111000,1.0,-4726.6166992
112000,1.0,-4788.749012
113000,1.0,-4777.700456799999
114000,1.0,-5405.0739254
115000,1.0,-4606.5176132
116000,1.0,-5491.5772212
117000,1.0,-4477.084784600001
118000,1.0,-4683.600744199999
119000,1.0,-6056.3711534
120000,1.0,-4618.273723
121000,1.0,-5275.763503600001
122000,1.0,-4438.322680200001
123000,1.0,-4478.0844038
124000,1.0,-6261.9365958
125000,1.0,-4994.7285904
126000,1.0,-4176.9859202
127000,1.0,-4655.6446748
128000,1.0,-4795.3160192
129000,1.0,-5152.9395656
130000,1.0,-4879.2712520000005
131000,1.0,-5628.23568
132000,1.0,-4024.2144100000005
133000,1.0,-4550.3937902
134000,1.0,-5534.7386461999995
135000,1.0,-4761.0209182
136000,1.0,-4704.1651644
137000,1.0,-5182.8084978
138000,1.0,-4733.4771122
139000,1.0,-4562.0963833999995
140000,1.0,-4664.610596799999
141000,1.0,-4638.9704360000005
142000,1.0,-4172.837074
143000,1.0,-4433.240574400001
144000,1.0,-4191.8281358
145000,1.0,-4922.662718199999
146000,1.0,-4269.671472999999
147000,1.0,-4932.202232
148000,1.0,-5698.7720546
149000,1.0,-4380.1998194
150000,1.0,-4982.314786999999
151000,1.0,-5847.017865600001
152000,1.0,-4053.777343
153000,1.0,-5060.4682976
154000,1.0,-4323.935047000001
155000,1.0,-5096.513799400001
156000,1.0,-4633.546903199999
157000,1.0,-4640.4039133999995
158000,1.0,-3994.8727802000003
159000,1.0,-5465.5776592
160000,1.0,-5586.9389857999995
161000,1.0,-4743.4556416
162000,1.0,-4805.672015
163000,1.0,-4511.8907303999995
164000,1.0,-4753.499865
165000,1.0,-6505.8266810000005
166000,1.0,-4792.6728938
167000,1.0,-4836.4588998
168000,1.0,-4446.413382199999
169000,1.0,-4814.9984176
170000,1.0,-4729.8047731999995
171000,1.0,-4554.1568612
172000,1.0,-4848.367657
173000,1.0,-4742.0574496
174000,1.0,-5618.491776000001
175000,1.0,-4116.0780669999995
176000,1.0,-5074.4200356
177000,1.0,-4804.9428726
178000,1.0,-4917.366973599999
179000,1.0,-4678.0040126
180000,1.0,-3823.4765960000004
181000,1.0,-6190.464653
182000,1.0,-4745.5859426
183000,1.0,-5098.6347301999995
184000,1.0,-4667.4831332
185000,1.0,-3987.200456
186000,1.0,-5028.4245968
187000,1.0,-4293.9569366000005
188000,1.0,-4000.3978362000003
189000,1.0,-4335.7618608
190000,1.0,-4290.7447442
191000,1.0,-5196.8798596
192000,1.0,-4897.5997048
193000,1.0,-4827.100454400001
194000,1.0,-5084.9442898
195000,1.0,-4662.606914
196000,1.0,-4694.993748
